ts,wti
2006-07-06,74.190405993947
2006-07-07,74.1462766664206
2006-07-08,74.10214733889421
2006-07-09,74.05801801136782
2006-07-10,74.01388868384143
2006-07-11,73.96975935631505
2006-07-12,73.92563002878866
2006-07-13,73.88150070126227
2006-07-14,73.83737137373588
2006-07-15,73.79324204620949
2006-07-16,73.7491127186831
2006-07-17,73.70498339115672
2006-07-18,73.66085406363032
2006-07-19,73.61672473610393
2006-07-20,73.57259540857754
2006-07-21,73.52846608105115
2006-07-22,73.48433675352476
2006-07-23,73.44020742599838
2006-07-24,73.39607809847199
2006-07-25,73.3519487709456
2006-07-26,73.3078194434192
2006-07-27,73.26369011589281
2006-07-28,73.21956078836642
2006-07-29,73.17543146084004
2006-07-30,73.13130213331365
2006-07-31,73.08717280578726
2006-08-01,73.04304347826087
